spat_temp_id,spat_temp_id_str,fishnet_id,temp_day_id
891,23_33,23,33
892,23_34,23,34
893,23_35,23,35
894,23_36,23,36
895,23_37,23,37
896,23_38,23,38
897,23_39,23,39
898,24_1,24,1
899,24_2,24,2
900,24_3,24,3
901,24_4,24,4
902,24_5,24,5
903,24_6,24,6
904,24_7,24,7
905,24_8,24,8
906,24_9,24,9
907,24_10,24,10
908,24_11,24,11
909,24_12,24,12
910,24_13,24,13
911,24_14,24,14
912,24_15,24,15
913,24_16,24,16
914,24_17,24,17
915,24_18,24,18
916,24_19,24,19
917,24_20,24,20
918,24_21,24,21
919,24_22,24,22
920,24_23,24,23
921,24_24,24,24
922,24_25,24,25
923,24_26,24,26
924,24_27,24,27
925,24_28,24,28
926,24_29,24,29
927,24_30,24,30
928,24_31,24,31
929,24_32,24,32
930,24_33,24,33
931,24_34,24,34
932,24_35,24,35
933,24_36,24,36
934,24_37,24,37
935,24_38,24,38
936,24_39,24,39
937,25_1,25,1
938,25_2,25,2
939,25_3,25,3
940,25_4,25,4
941,25_5,25,5
942,25_6,25,6
943,25_7,25,7
944,25_8,25,8
945,25_9,25,9
946,25_10,25,10
947,25_11,25,11
948,25_12,25,12
949,25_13,25,13
950,25_14,25,14
951,25_15,25,15
952,25_16,25,16
953,25_17,25,17
954,25_18,25,18
955,25_19,25,19
956,25_20,25,20
957,25_21,25,21
958,25_22,25,22
959,25_23,25,23
960,25_24,25,24
961,25_25,25,25
962,25_26,25,26
963,25_27,25,27
964,25_28,25,28
965,25_29,25,29
966,25_30,25,30
967,25_31,25,31
968,25_32,25,32
969,25_33,25,33
970,25_34,25,34
971,25_35,25,35
972,25_36,25,36
973,25_37,25,37
974,25_38,25,38
975,25_39,25,39
976,26_1,26,1
977,26_2,26,2
978,26_3,26,3
979,26_4,26,4
980,26_5,26,5
981,26_6,26,6
982,26_7,26,7
983,26_8,26,8
984,26_9,26,9
985,26_10,26,10
986,26_11,26,11
987,26_12,26,12
988,26_13,26,13
989,26_14,26,14
990,26_15,26,15
991,26_16,26,16
992,26_17,26,17
993,26_18,26,18
994,26_19,26,19
995,26_20,26,20
996,26_21,26,21
997,26_22,26,22
998,26_23,26,23
999,26_24,26,24
1000,26_25,26,25
1001,26_26,26,26
1002,26_27,26,27
1003,26_28,26,28
1004,26_29,26,29
1005,26_30,26,30
1006,26_31,26,31
1007,26_32,26,32
1008,26_33,26,33
1009,26_34,26,34
1010,26_35,26,35
1011,26_36,26,36
1012,26_37,26,37
1013,26_38,26,38
1014,26_39,26,39
1015,27_1,27,1
1016,27_2,27,2
1017,27_3,27,3
1018,27_4,27,4
1019,27_5,27,5
1020,27_6,27,6
1021,27_7,27,7
1022,27_8,27,8
1023,27_9,27,9
1024,27_10,27,10
1025,27_11,27,11
1026,27_12,27,12
1027,27_13,27,13
1028,27_14,27,14
1029,27_15,27,15
1030,27_16,27,16
1031,27_17,27,17
1032,27_18,27,18
1033,27_19,27,19
1034,27_20,27,20
1035,27_21,27,21
1036,27_22,27,22
1037,27_23,27,23
1038,27_24,27,24
1039,27_25,27,25
1040,27_26,27,26
1041,27_27,27,27
1042,27_28,27,28
1043,27_29,27,29
1044,27_30,27,30
1045,27_31,27,31
1046,27_32,27,32
1047,27_33,27,33
1048,27_34,27,34
1049,27_35,27,35
1050,27_36,27,36
1051,27_37,27,37
1052,27_38,27,38
1053,27_39,27,39
1054,28_1,28,1
1055,28_2,28,2
1056,28_3,28,3
1057,28_4,28,4
1058,28_5,28,5
1059,28_6,28,6
1060,28_7,28,7
1061,28_8,28,8
1062,28_9,28,9
1063,28_10,28,10
1064,28_11,28,11
1065,28_12,28,12
1066,28_13,28,13
1067,28_14,28,14
1068,28_15,28,15
1069,28_16,28,16
1070,28_17,28,17
1071,28_18,28,18
1072,28_19,28,19
1073,28_20,28,20
1074,28_21,28,21
1075,28_22,28,22
1076,28_23,28,23
1077,28_24,28,24
1078,28_25,28,25
1079,28_26,28,26
1080,28_27,28,27
1081,28_28,28,28
1082,28_29,28,29
1083,28_30,28,30
1084,28_31,28,31
1085,28_32,28,32
1086,28_33,28,33
1087,28_34,28,34
1088,28_35,28,35
1089,28_36,28,36
1090,28_37,28,37
1091,28_38,28,38
1092,28_39,28,39
1093,29_1,29,1
1094,29_2,29,2
1095,29_3,29,3
1096,29_4,29,4
1097,29_5,29,5
1098,29_6,29,6
1099,29_7,29,7
1100,29_8,29,8
1101,29_9,29,9
1102,29_10,29,10
1103,29_11,29,11
1104,29_12,29,12
1105,29_13,29,13
1106,29_14,29,14
1107,29_15,29,15
1108,29_16,29,16
1109,29_17,29,17
1110,29_18,29,18
1111,29_19,29,19
1112,29_20,29,20
1113,29_21,29,21
1114,29_22,29,22
1115,29_23,29,23
1116,29_24,29,24
1117,29_25,29,25
1118,29_26,29,26
1119,29_27,29,27
1120,29_28,29,28
1121,29_29,29,29
1122,29_30,29,30
1123,29_31,29,31
1124,29_32,29,32
1125,29_33,29,33
1126,29_34,29,34
1127,29_35,29,35
1128,29_36,29,36
1129,29_37,29,37
1130,29_38,29,38
1131,29_39,29,39
1132,30_1,30,1
1133,30_2,30,2
1134,30_3,30,3
1135,30_4,30,4
1136,30_5,30,5
1137,30_6,30,6
1138,30_7,30,7
1139,30_8,30,8
1140,30_9,30,9
1141,30_10,30,10
1142,30_11,30,11
1143,30_12,30,12
1144,30_13,30,13
1145,30_14,30,14
1146,30_15,30,15
1147,30_16,30,16
1148,30_17,30,17
1149,30_18,30,18
1150,30_19,30,19
1151,30_20,30,20
1152,30_21,30,21
1153,30_22,30,22
1154,30_23,30,23
1155,30_24,30,24
1156,30_25,30,25
1157,30_26,30,26
1158,30_27,30,27
1159,30_28,30,28
1160,30_29,30,29
1161,30_30,30,30
1162,30_31,30,31
1163,30_32,30,32
1164,30_33,30,33
1165,30_34,30,34
1166,30_35,30,35
1167,30_36,30,36
1168,30_37,30,37
1169,30_38,30,38
1170,30_39,30,39
1171,31_1,31,1
1172,31_2,31,2
1173,31_3,31,3
1174,31_4,31,4
1175,31_5,31,5
1176,31_6,31,6
1177,31_7,31,7
1178,31_8,31,8
1179,31_9,31,9
1180,31_10,31,10
1181,31_11,31,11
1182,31_12,31,12
1183,31_13,31,13
1184,31_14,31,14
1185,31_15,31,15
1186,31_16,31,16
1187,31_17,31,17
1188,31_18,31,18
1189,31_19,31,19
1190,31_20,31,20
1191,31_21,31,21
1192,31_22,31,22
1193,31_23,31,23
1194,31_24,31,24
1195,31_25,31,25
1196,31_26,31,26
1197,31_27,31,27
1198,31_28,31,28
1199,31_29,31,29
1200,31_30,31,30
1201,31_31,31,31
1202,31_32,31,32
1203,31_33,31,33
1204,31_34,31,34
1205,31_35,31,35
1206,31_36,31,36
1207,31_37,31,37
1208,31_38,31,38
1209,31_39,31,39
1210,32_1,32,1
1211,32_2,32,2
1212,32_3,32,3
1213,32_4,32,4
1214,32_5,32,5
1215,32_6,32,6
1216,32_7,32,7
1217,32_8,32,8
1218,32_9,32,9
1219,32_10,32,10
1220,32_11,32,11
1221,32_12,32,12
1222,32_13,32,13
1223,32_14,32,14
1224,32_15,32,15
1225,32_16,32,16
1226,32_17,32,17
1227,32_18,32,18
1228,32_19,32,19
1229,32_20,32,20
1230,32_21,32,21
1231,32_22,32,22
1232,32_23,32,23
1233,32_24,32,24
1234,32_25,32,25
1235,32_26,32,26
1236,32_27,32,27
1237,32_28,32,28
1238,32_29,32,29
1239,32_30,32,30
1240,32_31,32,31
1241,32_32,32,32
1242,32_33,32,33
1243,32_34,32,34
1244,32_35,32,35
1245,32_36,32,36
1246,32_37,32,37
1247,32_38,32,38
1248,32_39,32,39
1249,33_1,33,1
1250,33_2,33,2
1251,33_3,33,3
1252,33_4,33,4
1253,33_5,33,5
1254,33_6,33,6
1255,33_7,33,7
1256,33_8,33,8
1257,33_9,33,9
1258,33_10,33,10
1259,33_11,33,11
1260,33_12,33,12
1261,33_13,33,13
1262,33_14,33,14
1263,33_15,33,15
1264,33_16,33,16
1265,33_17,33,17
1266,33_18,33,18
1267,33_19,33,19
1268,33_20,33,20
1269,33_21,33,21
1270,33_22,33,22
1271,33_23,33,23
1272,33_24,33,24
1273,33_25,33,25
1274,33_26,33,26
1275,33_27,33,27
1276,33_28,33,28
1277,33_29,33,29
1278,33_30,33,30
1279,33_31,33,31
1280,33_32,33,32
1281,33_33,33,33
1282,33_34,33,34
1283,33_35,33,35
1284,33_36,33,36
1285,33_37,33,37
1286,33_38,33,38
1287,33_39,33,39
1288,34_1,34,1
1289,34_2,34,2
1290,34_3,34,3
1291,34_4,34,4
1292,34_5,34,5
1293,34_6,34,6
1294,34_7,34,7
1295,34_8,34,8
1296,34_9,34,9
1297,34_10,34,10
1298,34_11,34,11
1299,34_12,34,12
1300,34_13,34,13
1301,34_14,34,14
1302,34_15,34,15
1303,34_16,34,16
1304,34_17,34,17
1305,34_18,34,18
